Id,SalePrice
1461,119212.6998355135
1462,148911.8737453488
1463,192209.7304560619
1464,187234.66969934193
1465,173747.99159745712
1466,175738.47382950765
1467,168502.80562006996
1468,167798.92408794767
1469,186026.13004800558
1470,119851.46889610472
1471,195759.44807580212
1472,91704.28591750046
1473,101269.95561913577
1474,147320.4261754499
1475,113033.1763874576
1476,367170.3757923019
1477,242260.17165431747
1478,277187.47129840415
1479,269649.38238087425
1480,528710.7450255888
1481,335345.33502195455
1482,192823.24551304718
1483,184705.7773766397
1484,160650.64524905206
1485,172491.5335645276
1486,187990.88289786692
1487,330801.0390179798
1488,233514.2176389184
1489,194370.73664546816
1490,216254.928207946
1491,187492.24177881808
1492,84709.06395017903
1493,200130.7872418814
1494,304102.4578724362
1495,296128.61365190626
1496,219148.98160935726
1497,180808.0771593271
1498,151553.38241673965
1499,149225.92483540226
1500,151111.7750378014
1501,170672.8904050367
1502,144164.33342812056
1503,287163.82328084664
1504,231694.46732220444
1505,214138.84382767655
1506,180444.56253226008
1507,229228.87585413046
1508,196119.7700868395
1509,156774.45412187453
1510,141013.3748705431
1511,143659.86762414651
1512,157708.2575048849
1513,139875.58860041256
1514,152968.4842331749
1515,203197.47392799583
1516,164320.81213044457
1517,154206.80291264548
1518,132123.1504487679
1519,213789.4757795975
1520,136867.76180035566
1521,135590.34478314244
1522,167387.07751157106
1523,105932.47326675904
1524,124873.5570836865
1525,127092.20948387268
1526,125252.85561378207
1527,114155.45647551563
1528,131710.95959614322
1529,142753.84796598906
1530,174734.40787141
1531,107905.26624618882
1532,107172.63643981931
1533,146188.99533414782
1534,123128.08065949296
1535,167129.69518632744
1536,115498.86889430344
1537,67222.26165591044
1538,159269.84054823112
1539,198621.84582022953
1540,101134.29192823583
1541,142223.1885539367
1542,136776.85468137788
1543,214021.69252984948
1544,84312.27062161811
1545,119549.78836713833
1546,135210.27112494817
1547,136860.43248801702
1548,127298.55057706678
1549,118924.86040903382
1550,135965.24420824918
1551,122189.23422585482
1552,124192.04224066169
1553,151189.298085333
1554,111333.68946891582
1555,167373.1128709421
1556,79285.80086061492
1557,95612.2963411984
1558,99454.44398031072
1559,91544.37687502513
1560,129032.39217561745
1561,137421.09698914946
1562,133219.9153210266
1563,112790.1462387958
1564,169289.6946863799
1565,152442.1351252452
1566,231851.4873718008
1567,79465.21446061086
1568,210492.60291360327
1569,148988.961071906
1570,140598.48291775142
1571,115458.6762287947
1572,145166.33407778936
1573,254230.8874412019
1574,124483.4041407817
1575,217530.7714672941
1576,248042.3765598102
1577,221436.5962251051
1578,134876.76036689858
1579,149762.55445035273
1580,189690.36524392205
1581,143870.1996155443
1582,123724.80125037856
1583,316711.15886941244
1584,222019.85440939793
1585,143806.0650771233
1586,93894.20512459574
1587,110111.5829983211
1588,138751.644670196
1589,104923.74869697496
1590,136663.48532803592
1591,88272.22584150708
1592,121518.35476814694
1593,121591.55514944608
1594,126324.32097887751
1595,114267.0233049319
1596,243429.90403302747
1597,163408.6494528265
1598,190734.78410629687
1599,149740.2230265942
1600,157894.51577858417
1601,53495.53335028131
1602,118685.64533787433
1603,76430.16800626261
1604,282046.2437806556
1605,253830.25187592526
1606,157193.3644617707
1607,145506.13046745735
1608,222176.01426716652
1609,191680.07685415584
1610,151247.8264693111
1611,133128.02344592608
1612,172084.77782155832
1613,159866.96175690094
1614,122735.93535232713
1615,93093.70118823995
1616,72755.72220146656
1617,98370.5004863074
1618,130239.40366466815
1619,139948.9173034651
1620,153500.26414487755
1621,137272.48660498392
1622,139110.73009086776
1623,306990.96124740393
1624,228528.83331469362
1625,122807.31256930067
1626,162373.35669424976
1627,186365.33148921127
1628,292379.8411497228
1629,180028.14332302124
1630,342576.620418491
1631,200323.08083476106
1632,245256.0039248157
1633,162914.9746710233
1634,202481.2314814057
1635,182957.74359843676
1636,150100.30854541436
1637,171774.67796766976
1638,201844.3132688783
1639,177707.72877671386
1640,283692.6634016726
1641,181005.76978188832
1642,227197.11866828517
1643,225230.87379673976
1644,227965.23146359573
1645,218373.0323869062
1646,158595.58543261132
1647,160542.8994901086
